id,iso_code,date,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,positive_rate,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality
178594,SLE,2022-06-03,0.0,0.0,,,,,,,,,
178595,SGP,2022-06-02,3745.0,0.0,,,,,,,,,
178596,SGP,2022-06-03,3233.0,0.0,,,,,,,,,
178597,SVK,2022-06-02,197.0,1.0,,,,,,,,,
178598,SVK,2022-06-03,190.0,2.0,,,,,,,,,
178599,SVN,2022-06-02,289.0,0.0,,,3027.0,0.057,1265676.0,1221918.0,654102.0,221.0,
178600,SVN,2022-06-03,257.0,0.0,,,,,,,,0.0,
178601,SLB,2022-06-02,,0.0,,,,,,,,,
178602,SLB,2022-06-03,,0.0,,,,,,,,,
178603,SOM,2022-06-02,0.0,0.0,,,,,,,,,
178604,SOM,2022-06-03,0.0,0.0,,,,,,,,,
178605,ZAF,2022-06-02,2970.0,31.0,,,25690.0,0.1237,21776154.0,18799631.0,3213884.0,42958.0,
178606,ZAF,2022-06-03,2028.0,35.0,,,,,21793671.0,18815753.0,3228459.0,43112.0,
178607,KOR,2022-06-02,12522.0,17.0,,,,,45056097.0,44590313.0,37440650.0,27554.0,
178608,KOR,2022-06-03,12016.0,9.0,,,,,45057078.0,44596263.0,37484972.0,51241.0,
178609,SSD,2022-06-02,8.0,0.0,,,,0.0061,,,,,
178610,SSD,2022-06-03,1.0,0.0,,,,,,,,,
178611,ESP,2022-06-02,0.0,0.0,340.0,6131.0,,,,,,,
178612,ESP,2022-06-03,42989.0,304.0,,,,,,,,,
178613,LKA,2022-06-02,7.0,0.0,,,1249.0,0.0053,,,,,
178614,LKA,2022-06-03,8.0,0.0,,,,,,,,,
178615,SDN,2022-06-02,0.0,0.0,,,,,,,,,
178616,SDN,2022-06-03,0.0,0.0,,,,,,,,,
178617,SUR,2022-06-02,,0.0,,,251.0,0.475,,,,,
178618,SUR,2022-06-03,,0.0,,,,,,,,,
178619,SWE,2022-06-02,1418.0,37.0,,,,,7835657.0,7645072.0,5402095.0,,
178620,SWE,2022-06-03,,,,,,,,,,,
178621,CHE,2022-06-02,,3.0,,,,,,,,,
178622,CHE,2022-06-03,,0.0,,,,,,,,,
178623,SYR,2022-06-02,1.0,0.0,,,,,,,,,
178624,SYR,2022-06-03,0.0,0.0,,,,,,,,,
178625,TWN,2022-06-02,76930.0,144.0,,,77249.0,0.8582,20818967.0,19034292.0,15600770.0,220905.0,
178626,TWN,2022-06-03,76505.0,142.0,,,,,20856827.0,19040882.0,15626876.0,70556.0,
178627,TJK,2022-06-02,0.0,0.0,,,,,,,,,
178628,TJK,2022-06-03,0.0,0.0,,,,,,,,,
178629,TZA,2022-06-02,0.0,0.0,,,,,,,,,
178630,TZA,2022-06-03,0.0,0.0,,,,,,,,,
178631,THA,2022-06-02,2976.0,32.0,,,,,56541014.0,52540544.0,28148649.0,111732.0,
178632,THA,2022-06-03,3001.0,30.0,,,,,56542712.0,52545490.0,28166057.0,24052.0,
178633,TLS,2022-06-02,1.0,0.0,,,,,,,,,
178634,TLS,2022-06-03,4.0,0.0,,,,,,,,,
178635,TGO,2022-06-02,13.0,0.0,,,,0.0172,,,,,
178636,TGO,2022-06-03,6.0,0.0,,,,,,,,,
178637,TON,2022-06-02,0.0,0.0,,,,,,,,,
178638,TON,2022-06-03,27.0,0.0,,,,,,,,,
178639,TTO,2022-06-02,397.0,3.0,,,,,749752.0,712666.0,159283.0,537.0,
178640,TTO,2022-06-03,254.0,5.0,,,,,749829.0,712711.0,159497.0,324.0,
178641,TUN,2022-06-02,,0.0,,,,,,,,,
178642,TUN,2022-06-03,,0.0,,,,,,,,,
178643,TUR,2022-06-02,,0.0,,,,,,,,,
178644,TUR,2022-06-03,,0.0,,,,,,,,,
178645,TCA,2022-06-02,0.0,0.0,,,,,,,,,
178646,TCA,2022-06-03,0.0,0.0,,,,,,,,,
178647,UGA,2022-06-02,0.0,0.0,,,,0.0023,,,,,
178648,UGA,2022-06-03,0.0,0.0,,,,,,,,,
178649,UKR,2022-06-02,0.0,0.0,,,,,,,,,
178650,UKR,2022-06-03,0.0,0.0,,,,,,,,,
178651,ARE,2022-06-02,575.0,0.0,,,242364.0,0.002,,,,,
178652,ARE,2022-06-03,593.0,0.0,,,,,,,,,
178653,GBR,2022-06-02,129.0,,,,,,,,,,
178654,GBR,2022-06-03,,,,,,,,,,,
178655,USA,2022-06-02,118424.0,317.0,,,,,,,,,
178656,USA,2022-06-03,154004.0,391.0,,,,,,,,,
178657,URY,2022-06-02,,,,,,,2992895.0,2877870.0,2565212.0,13512.0,
178658,URY,2022-06-03,,,,,,,2993214.0,2878609.0,2581592.0,17438.0,
178659,UZB,2022-06-02,13.0,0.0,,,,,,,,,
178660,UZB,2022-06-03,18.0,0.0,,,,,,,,,
178661,VUT,2022-06-02,215.0,0.0,,,,,,,,,
178662,VUT,2022-06-03,7.0,0.0,,,,,,,,,
178663,VAT,2022-06-02,0.0,,,,,,,,,,
178664,VAT,2022-06-03,0.0,,,,,,,,,,
178665,VEN,2022-06-02,0.0,0.0,,,,,,,,,
178666,VEN,2022-06-03,59.0,0.0,,,,,,,,,
178667,VNM,2022-06-02,2208.0,1.0,,,,,84545834.0,79331294.0,57780906.0,99737.0,
178668,VNM,2022-06-03,1039.0,0.0,,,,,,,,,
178669,WLF,2022-06-02,0.0,0.0,,,,,,,,,
178670,WLF,2022-06-03,0.0,0.0,,,,,,,,,
178671,YEM,2022-06-02,0.0,0.0,,,,,,,,,
178672,YEM,2022-06-03,0.0,0.0,,,,,,,,,
178673,ZMB,2022-06-02,0.0,0.0,,,2409.0,,,3534173.0,,,
178674,ZMB,2022-06-03,292.0,1.0,,,,,,3674839.0,,219574.0,
178675,ZWE,2022-06-02,177.0,1.0,,,,0.0743,,,,,
178676,ZWE,2022-06-03,185.0,1.0,,,,,,,,,
