CRI,2022-03-14,2223.0,26.0,,,,,,,,,
CRI,2022-03-15,1093.0,6.0,,,,,,,,,
CIV,2022-03-13,3.0,0.0,,,,,,,,,
CIV,2022-03-14,1.0,0.0,,,,,,,,,
CIV,2022-03-15,18.0,0.0,,,,,,,,,
HRV,2022-03-13,956.0,15.0,,,,0.2737,2308535.0,2234396.0,,17.0,
HRV,2022-03-14,141.0,18.0,,,,,,,,,
HRV,2022-03-15,1179.0,19.0,,,,,,,,,
CUB,2022-03-13,556.0,0.0,,,,,,,,,
CUB,2022-03-14,620.0,0.0,,,,,,,,,
CUB,2022-03-15,561.0,0.0,,,,,,,,,
CUW,2022-03-13,,0.0,,,,,,,,,
CUW,2022-03-14,,0.0,,,,,,,,,
CUW,2022-03-15,,0.0,,,,,,,,,
CYP,2022-03-13,2314.0,3.0,,,68993.0,0.0331,,,,,
CYP,2022-03-14,3782.0,0.0,,,,,,,,,
CYP,2022-03-15,3294.0,2.0,,,,,,,,,
CZE,2022-03-13,7202.0,29.0,185.0,2107.0,10862.0,0.243,6946952.0,6852215.0,4051102.0,194.0,
CZE,2022-03-14,0.0,0.0,188.0,2385.0,,,6947191.0,6852550.0,4053603.0,3058.0,
CZE,2022-03-15,10864.0,61.0,178.0,2212.0,,,,,,,
COD,2022-03-13,0.0,0.0,,,,,,,,,
COD,2022-03-14,29.0,0.0,,,,,,,,,
COD,2022-03-15,31.0,0.0,,,,,,,,,
DNK,2022-03-13,6658.0,47.0,25.0,1464.0,24038.0,0.2597,4843038.0,4742097.0,3605267.0,1080.0,
DNK,2022-03-14,7892.0,21.0,26.0,1567.0,,,,,,,
DNK,2022-03-15,9947.0,36.0,26.0,1531.0,,,,,,,
DJI,2022-03-13,1.0,0.0,,,,,,,,,
DJI,2022-03-14,3.0,0.0,,,,,,,,,
DJI,2022-03-15,0.0,0.0,,,,,,,,,
DMA,2022-03-13,0.0,0.0,,,,,,,,,
DMA,2022-03-14,27.0,0.0,,,,,,,,,
DMA,2022-03-15,0.0,0.0,,,,,,,,,
DOM,2022-03-13,274.0,0.0,,,,,7155942.0,5871851.0,2256290.0,3331.0,
DOM,2022-03-14,0.0,0.0,,,,,7158835.0,5875457.0,2260376.0,11994.0,
DOM,2022-03-15,147.0,0.0,,,,,,,,,
ECU,2022-03-13,0.0,0.0,,,,,14810687.0,13650230.0,4750101.0,17544.0,
ECU,2022-03-14,5626.0,31.0,,,,,,,,,
ECU,2022-03-15,313.0,1.0,,,,,,,,,
EGY,2022-03-13,,0.0,,,,,,,,,
EGY,2022-03-14,,0.0,,,,,,,,,
EGY,2022-03-15,,0.0,,,,,,,,,
SLV,2022-03-13,0.0,5.0,,,,,,,,,
SLV,2022-03-14,0.0,1.0,,,,,4575400.0,4272289.0,1440486.0,,
SLV,2022-03-15,0.0,1.0,,,,,,,,,
GNQ,2022-03-13,0.0,0.0,,,,,,,,,
GNQ,2022-03-14,3.0,0.0,,,,,,,,,
GNQ,2022-03-15,0.0,0.0,,,,,,,,,
ERI,2022-03-13,0.0,0.0,,,,,,,,,
ERI,2022-03-14,1.0,0.0,,,,,,,,,
ERI,2022-03-15,0.0,0.0,,,,,,,,,
EST,2022-03-13,1371.0,7.0,,,2593.0,0.4426,858329.0,841315.0,450611.0,144.0,
EST,2022-03-14,925.0,6.0,,,,,,,,,
EST,2022-03-15,2699.0,8.0,,,,,,,,,
SWZ,2022-03-13,6.0,0.0,,,,,,,,,
SWZ,2022-03-14,24.0,0.0,,,,,,,,,
SWZ,2022-03-15,19.0,0.0,,,,,,,,,
ETH,2022-03-13,14.0,1.0,,,,,23960213.0,20481066.0,,,
ETH,2022-03-14,38.0,0.0,,,,,,,,,
ETH,2022-03-15,69.0,0.0,,,,,,,,,
FRO,2022-03-13,0.0,0.0,,,,,,,,,
FRO,2022-03-14,0.0,0.0,,,,,,,,,
FRO,2022-03-15,0.0,0.0,,,,,,,,,
FLK,2022-03-13,0.0,,,,,,,,,,
FLK,2022-03-14,0.0,,,,,,,,,,
FLK,2022-03-15,0.0,,,,,,,,,,
FJI,2022-03-13,0.0,0.0,,,,,,,110183.0,,
FJI,2022-03-14,14.0,0.0,,,,,678761.0,624416.0,,,
FJI,2022-03-15,0.0,0.0,,,,,,,,,
FIN,2022-03-13,0.0,0.0,36.0,807.0,,,,,,,
FIN,2022-03-14,26848.0,64.0,42.0,859.0,,,,,,,
FIN,2022-03-15,6110.0,2.0,,,,,,,,,
FRA,2022-03-13,59036.0,28.0,1855.0,20917.0,,,53997506.0,52409669.0,35946753.0,3025.0,
FRA,2022-03-14,22158.0,187.0,1826.0,20925.0,,,,,,,
FRA,2022-03-15,116618.0,146.0,1783.0,20919.0,,,,,,,
PYF,2022-03-13,0.0,0.0,,,,,,,,,
PYF,2022-03-14,278.0,2.0,,,,,186020.0,180807.0,,,
PYF,2022-03-15,390.0,0.0,,,,,,,,,
GAB,2022-03-13,0.0,0.0,,,,,,,,,
GAB,2022-03-14,6.0,0.0,,,,,,,,,
GAB,2022-03-15,0.0,0.0,,,,,,,,,
GMB,2022-03-13,0.0,0.0,,,,,,,,,
GMB,2022-03-14,10.0,0.0,,,,,,,,,
GMB,2022-03-15,0.0,0.0,,,,,,,,,
GEO,2022-03-13,823.0,24.0,,,,,1581848.0,1251296.0,,150.0,
GEO,2022-03-14,466.0,15.0,,,,,1583158.0,1251778.0,,1792.0,
GEO,2022-03-15,1716.0,16.0,,,,,,,,,
DEU,2022-03-13,73343.0,19.0,2192.0,,,,63574029.0,62963254.0,48103506.0,12675.0,
DEU,2022-03-14,198955.0,282.0,2259.0,,,,63578242.0,62971910.0,48136886.0,46203.0,
DEU,2022-03-15,262283.0,268.0,2297.0,,,,,,,,
GHA,2022-03-13,23.0,0.0,,,,,,,,,
GHA,2022-03-14,0.0,0.0,,,,,,,,,
GHA,2022-03-15,45.0,0.0,,,,,,,,,
GIB,2022-03-13,0.0,0.0,,,,,,,,,
GIB,2022-03-14,115.0,0.0,,,,,,,,,
GIB,2022-03-15,35.0,0.0,,,,,,,,,
GRC,2022-03-13,11986.0,49.0,,,,0.0729,7879640.0,7567630.0,5451605.0,3394.0,
GRC,2022-03-14,22682.0,73.0,,,,,7880710.0,7569124.0,5459405.0,10170.0,
GRC,2022-03-15,26620.0,51.0,,,,,,,,,
GRL,2022-03-13,0.0,0.0,,,,,,,,,
GRL,2022-03-14,23.0,0.0,,,,,,,,,
GRL,2022-03-15,16.0,0.0,,,,,,,,,
GRD,2022-03-13,0.0,0.0,,,,,,,,,
GRD,2022-03-14,0.0,0.0,,,,,,,,,
GRD,2022-03-15,0.0,0.0,,,,,,,,,
GTM,2022-03-13,321.0,9.0,,,,,,,,,
GTM,2022-03-14,363.0,6.0,,,,,,,,,
GTM,2022-03-15,2060.0,11.0,,,,,,,,,
GIN,2022-03-13,0.0,0.0,,,,,3396038.0,2439433.0,,,
GIN,2022-03-14,8.0,0.0,,,,,,,,,
GIN,2022-03-15,0.0,0.0,,,,,,,,,
GNB,2022-03-13,18.0,0.0,,,,,519240.0,341270.0,,,
GNB,2022-03-14,0.0,0.0,,,,,,,,,
GNB,2022-03-15,3.0,1.0,,,,,,,,,
GUY,2022-03-13,17.0,0.0,,,,,,,,,
GUY,2022-03-14,3.0,1.0,,,,,,,,,
GUY,2022-03-15,10.0,0.0,,,,,,,,,
HTI,2022-03-13,15.0,0.0,,,,,,,,,
HTI,2022-03-14,0.0,0.0,,,,,,,,,
HTI,2022-03-15,12.0,0.0,,,,,,,,,
HND,2022-03-13,0.0,0.0,,,,,,,,,
HND,2022-03-14,0.0,0.0,,,,,,,,,
HND,2022-03-15,472.0,8.0,,,,,,,,,
HKG,2022-03-13,13335.0,264.0,,,,,6410271.0,5411002.0,2262752.0,51522.0,
HKG,2022-03-14,12040.0,286.0,,,,,,,,,
HKG,2022-03-15,11956.0,289.0,,,,,,,,,
HUN,2022-03-13,,,,,,,,,,,
HUN,2022-03-14,,,,,,,,,,,
HUN,2022-03-15,,,,,,,,,,,
ISL,2022-03-13,0.0,0.0,,,,,,,,,
ISL,2022-03-14,4405.0,2.0,,,,,,,,,
ISL,2022-03-15,2361.0,2.0,,,,,,,,,
IND,2022-03-13,2503.0,27.0,,,761737.0,0.0046,968738370.0,811980554.0,20001279.0,1308487.0,
IND,2022-03-14,2568.0,97.0,,,532232.0,,968928555.0,813501336.0,20085722.0,1795410.0,
IND,2022-03-15,2876.0,98.0,,,,,,,,,
IDN,2022-03-13,11585.0,215.0,,,100178.0,0.1358,193400494.0,151378726.0,,,
IDN,2022-03-14,9629.0,271.0,,,119807.0,,193474037.0,151486424.0,14770130.0,,
IDN,2022-03-15,14408.0,308.0,,,,,,,,,
IRN,2022-03-13,3330.0,118.0,,,,0.0633,,,,,
IRN,2022-03-14,3813.0,114.0,,,,,63589153.0,56247745.0,25204367.0,,
IRN,2022-03-15,3223.0,117.0,,,,,,,,,
IRQ,2022-03-13,421.0,2.0,,,,,,,,,
IRQ,2022-03-14,657.0,6.0,,,,,,,,,
IRQ,2022-03-15,573.0,4.0,,,,,,,,,
IRL,2022-03-13,0.0,0.0,,,12093.0,,4061807.0,3992874.0,2863712.0,5616.0,
IRL,2022-03-14,11907.0,13.0,,,10346.0,,,,,,
IRL,2022-03-15,6282.0,12.0,,,,,,,,,
IMN,2022-03-13,0.0,0.0,,,,,,,,,
IMN,2022-03-14,567.0,0.0,,,,,69450.0,66751.0,52187.0,,
IMN,2022-03-15,323.0,0.0,,,,,,,,,
ISR,2022-03-13,6557.0,12.0,177.0,963.0,50697.0,0.11,6700680.0,6124412.0,5204449.0,1302.0,
ISR,2022-03-14,5970.0,13.0,174.0,940.0,39705.0,0.112,6700742.0,6124660.0,5205304.0,1165.0,
ISR,2022-03-15,7172.0,7.0,132.0,843.0,,,,,,,
ITA,2022-03-13,50028.0,86.0,516.0,8756.0,330028.0,0.1248,50678149.0,47695324.0,38202717.0,24037.0,
ITA,2022-03-14,29698.0,129.0,518.0,8986.0,204877.0,,50681384.0,47705707.0,38249884.0,60784.0,
ITA,2022-03-15,86414.0,180.0,502.0,8975.0,,,,,,,
JAM,2022-03-13,25.0,1.0,,,2453.0,0.0123,774210.0,662710.0,30822.0,503.0,
JAM,2022-03-14,21.0,5.0,,,,,774482.0,663195.0,30923.0,750.0,
JAM,2022-03-15,18.0,1.0,,,,,,,,,
JPN,2022-03-13,50859.0,90.0,,,66839.0,0.3591,101950049.0,100424330.0,38067071.0,,
JPN,2022-03-14,32359.0,116.0,,,,,101984441.0,100444869.0,39260464.0,1248324.0,
JPN,2022-03-15,50695.0,188.0,,,,,,,,,
JOR,2022-03-13,0.0,0.0,,,,,,,,,
JOR,2022-03-14,25502.0,77.0,,,,,,,,,
JOR,2022-03-15,,,,,,,,,,,
KAZ,2022-03-13,0.0,0.0,,,,,9423576.0,9070228.0,,,
KAZ,2022-03-14,170.0,6.0,,,,,9425219.0,9074986.0,,,
KAZ,2022-03-15,,0.0,,,,,,,,,
KEN,2022-03-13,12.0,1.0,,,,,11619474.0,7943994.0,264172.0,11699.0,
KEN,2022-03-14,12.0,1.0,,,,,11634051.0,7976891.0,265023.0,42728.0,
KEN,2022-03-15,9.0,1.0,,,,,,,,,
KIR,2022-03-13,5.0,0.0,,,,,,,,,
KIR,2022-03-14,6.0,0.0,,,,,,,,,
KIR,2022-03-15,5.0,0.0,,,,,,,,,
KWT,2022-03-13,0.0,0.0,,,,,,,,,
KWT,2022-03-14,653.0,2.0,,,,,,,,,
KWT,2022-03-15,270.0,0.0,,,,,,,,,
KGZ,2022-03-13,22.0,1.0,,,,,,,,,
KGZ,2022-03-14,16.0,1.0,,,,,1468402.0,1205204.0,,,
KGZ,2022-03-15,0.0,0.0,,,,,,,,,
LAO,2022-03-13,394.0,0.0,,,,0.4167,,,,,
LAO,2022-03-14,359.0,0.0,,,1888.0,,5296891.0,4382631.0,,,
LAO,2022-03-15,722.0,2.0,,,,,,,,,
LVA,2022-03-13,2727.0,2.0,,,6167.0,0.4451,1343046.0,1300758.0,506468.0,21.0,
LVA,2022-03-14,2097.0,8.0,,,4872.0,,1343094.0,1300828.0,506794.0,423.0,
LVA,2022-03-15,6250.0,6.0,,,,,,,,,
LBN,2022-03-13,486.0,6.0,,,,,2504168.0,2179198.0,544782.0,689.0,
LBN,2022-03-14,632.0,5.0,,,,,2504820.0,2180156.0,545452.0,2280.0,
LBN,2022-03-15,614.0,8.0,,,,,,,,,
LSO,2022-03-13,0.0,0.0,,,,,,,,,
LSO,2022-03-14,59.0,0.0,,,,,,,,,
LSO,2022-03-15,0.0,0.0,,,,,,,,,
LBR,2022-03-13,0.0,0.0,,,,,,,,,
LBR,2022-03-14,5.0,0.0,,,,,,,,,
LBR,2022-03-15,0.0,0.0,,,,,,,,,
LBY,2022-03-13,233.0,8.0,,,2155.0,,2181405.0,1109227.0,84108.0,5514.0,
LBY,2022-03-14,304.0,6.0,,,,,,,,,
LBY,2022-03-15,193.0,4.0,,,,,,,,,
LIE,2022-03-13,209.0,0.0,,,,,26715.0,26386.0,18234.0,0.0,
LIE,2022-03-14,1.0,0.0,,,,,,,,,
LIE,2022-03-15,189.0,0.0,,,,,,,,,
LTU,2022-03-13,2636.0,10.0,,,,,1947187.0,1871295.0,913696.0,96.0,
LTU,2022-03-14,2187.0,8.0,,,,,1947333.0,1871443.0,914155.0,749.0,
LTU,2022-03-15,4595.0,17.0,,,,,,,,,
LUX,2022-03-13,0.0,0.0,,,,,,,,,
LUX,2022-03-14,1975.0,2.0,,,,,,,,,
LUX,2022-03-15,907.0,1.0,,,,,,,,,
MAC,2022-03-13,0.0,,,,,,556102.0,498179.0,144143.0,3966.0,
MAC,2022-03-14,0.0,,,,,,557718.0,498656.0,146313.0,4108.0,
MAC,2022-03-15,0.0,,,,,,,,,,
MDG,2022-03-13,0.0,0.0,,,,,,,,,
MDG,2022-03-14,0.0,0.0,,,,,,,,,
MDG,2022-03-15,0.0,0.0,,,,,,,,,
MWI,2022-03-13,4.0,3.0,,,,,,,,,
MWI,2022-03-14,0.0,0.0,,,,,,,,,
MWI,2022-03-15,16.0,1.0,,,,,,,,,
MYS,2022-03-13,22535.0,87.0,384.0,7509.0,,,27316828.0,25772952.0,15282368.0,45711.0,
MYS,2022-03-14,22030.0,92.0,388.0,7206.0,,,27331445.0,25775007.0,15317615.0,51798.0,
MYS,2022-03-15,26534.0,95.0,376.0,7064.0,,,,,,,
MDV,2022-03-13,291.0,0.0,,,1667.0,0.1586,,,,,
MDV,2022-03-14,,0.0,,,,,,,,,
MDV,2022-03-15,,0.0,,,,,,,,,
MLI,2022-03-13,6.0,0.0,,,,,,,,,
MLI,2022-03-14,3.0,0.0,,,,,,,,,
MLI,2022-03-15,5.0,0.0,,,,,,,,,
MLT,2022-03-13,171.0,0.0,,,1854.0,0.0786,472255.0,464837.0,346666.0,304.0,
MLT,2022-03-14,143.0,1.0,,,1707.0,,,,,,
MLT,2022-03-15,194.0,2.0,,,,,,,,,
MHL,2022-03-13,0.0,,,,,,,,,,
MHL,2022-03-14,0.0,,,,,,,,,,
MHL,2022-03-15,0.0,,,,,,,,,,
MRT,2022-03-13,1.0,0.0,,,,,,,,,
MRT,2022-03-14,1.0,0.0,,,,,,,,,
MRT,2022-03-15,1.0,0.0,,,,,,,,,
MUS,2022-03-13,,,,,,,,,,,
MUS,2022-03-14,,,,,,,,,,,
MUS,2022-03-15,,,,,,,,,,,
MEX,2022-03-13,1191.0,49.0,,,,,,,,,
MEX,2022-03-14,1018.0,12.0,,,,,85436974.0,79380412.0,,,
MEX,2022-03-15,,,,,,,,,,,
FSM,2022-03-13,0.0,,,,,,,,,,
FSM,2022-03-14,0.0,,,,,,,,,,
FSM,2022-03-15,0.0,,,,,,,,,,
MDA,2022-03-13,395.0,7.0,,,1689.0,,,1047537.0,,,
MDA,2022-03-14,241.0,4.0,,,,,,1048472.0,,3560.0,
MDA,2022-03-15,343.0,7.0,,,,,,,,,
MCO,2022-03-13,0.0,1.0,,,,,,,,,
MCO,2022-03-14,50.0,0.0,,,,,,,,,
MCO,2022-03-15,74.0,0.0,,,,,,,,,
MNG,2022-03-13,0.0,0.0,,,,,,,,,
MNG,2022-03-14,1275.0,0.0,,,4017.0,,,,,,
MNG,2022-03-15,97.0,0.0,,,,,,,,,
MNE,2022-03-13,69.0,1.0,,,,,289124.0,280901.0,95937.0,,
MNE,2022-03-14,56.0,0.0,,,,,289125.0,280906.0,95939.0,8.0,
MNE,2022-03-15,106.0,2.0,,,,,,,,,
MSR,2022-03-13,0.0,0.0,,,,,,,,,
MSR,2022-03-14,0.0,0.0,,,,,,,,,
MSR,2022-03-15,5.0,0.0,,,,,,,,,
MAR,2022-03-13,56.0,3.0,,,6904.0,0.0082,,,,,
MAR,2022-03-14,29.0,4.0,,,4324.0,,,,,,
MAR,2022-03-15,111.0,3.0,,,,,,,,,
MOZ,2022-03-13,6.0,0.0,,,,,,,,,
MOZ,2022-03-14,0.0,0.0,,,,,,,,,
MOZ,2022-03-15,9.0,0.0,,,,,,,,,
MMR,2022-03-13,487.0,3.0,,,,,,,,,
MMR,2022-03-14,880.0,2.0,,,,,,,,,
MMR,2022-03-15,683.0,3.0,,,,,,,,,
NAM,2022-03-13,55.0,0.0,,,,,,,,,
NAM,2022-03-14,0.0,0.0,,,,,,,,,
NAM,2022-03-15,20.0,0.0,,,,,,,,,
NPL,2022-03-13,59.0,0.0,,,,,21779635.0,18452467.0,1723833.0,91650.0,
NPL,2022-03-14,50.0,0.0,,,,0.015,21801530.0,18502119.0,1757697.0,92416.0,
NPL,2022-03-15,57.0,0.0,,,,,,,,,
NLD,2022-03-13,52342.0,8.0,152.0,1622.0,,,,,,,
NLD,2022-03-14,45900.0,6.0,151.0,1769.0,,,,,,,
NLD,2022-03-15,52897.0,12.0,156.0,1796.0,,,,,,,
NCL,2022-03-13,0.0,0.0,,,,,,,,,
NCL,2022-03-14,190.0,0.0,,,,,187893.0,179630.0,,,
NCL,2022-03-15,136.0,0.0,,,,,,,,,
NZL,2022-03-13,15576.0,1.0,,,,,,,,,
NZL,2022-03-14,21657.0,0.0,,,1761.0,,4277644.0,3980989.0,2556814.0,,
NZL,2022-03-15,,0.0,,,,,,,,,
NIC,2022-03-13,0.0,0.0,,,,,,,,,
NIC,2022-03-14,0.0,0.0,,,,,,,,,
NIC,2022-03-15,87.0,0.0,,,,,,,,,
NER,2022-03-13,0.0,0.0,,,,,,,,,
NER,2022-03-14,0.0,0.0,,,,,,,,,
NER,2022-03-15,0.0,0.0,,,,,,,,,
NGA,2022-03-13,0.0,0.0,,,,,19196245.0,8763392.0,,,
NGA,2022-03-14,36.0,0.0,,,,,,,,,
NGA,2022-03-15,12.0,0.0,,,,,,,,,
MKD,2022-03-13,198.0,9.0,,,,0.1235,,,,,
MKD,2022-03-14,92.0,4.0,,,,,,,,,
MKD,2022-03-15,312.0,5.0,,,,,,,,,
